,carpark_number,address,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,lat,lng
0,A11,BLK 223/226/226A-226D ANG MO KIO ST 22,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.367035534,103.8381811
1,A12,BLK 229/230 ANG MO KIO ST 22,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3685098269999998,103.8386753
2,A15,BLK 226E-226H ANG MO KIO ST 22,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.36696761,103.8404175
3,A20,BLK 304/307/319 ANG MO KIO ST 31,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.364943381,103.8484571
4,A25,BLK 330/337 ANG MO KIO AVE 8,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.362769307,103.8516275
5,A30,BLK 129/134 ANG MO KIO STREET 12,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3709897469999999,103.84241899999999
6,A34,BLK 422/425 ANG MO KIO ST 42,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3683564730000002,103.85166740000001
7,A37,BLK 446/449/453 ANG MO KIO ST 43,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3681130680000002,103.8555566
8,A38,BLK 407/410/421 ANG MO KIO AVE 10,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3639637059999998,103.85458840000001
9,A39,BLK 401/405 ANG MO KIO AVE 10,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3611510219999998,103.8540722
10,A40,BLK 471/476 ANG MO KIO ST 44,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.362356151,103.8569821
11,A43,BLK 457/458/460 ANG MO KIO ST 44,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.365996736,103.8592673
12,A50,BLK 548/552/556 ANG MO KIO STREET 54,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.372522464,103.85760959999999
13,A60,BLK 540/546 ANG MO KIO ST 54,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.374464495,103.8559134
14,A65,BLK 558/560 ANG MO KIO STREET 54,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.371029159,103.8594172
15,A66,BLK 601/604/603 ANG MO KIO AVE 5,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,1.380544931,103.8356606
16,A67,BLK 605/612 ANG MO KIO AVE 4/5,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3796863240000001,103.83780490000001
17,A68,BLK 620/624/626 ANG MO KIO ST 61,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.381897619,103.8398542
18,A69,BLK 623/625/627 ANG MO KIO ST 61,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,1.381641458,103.8419454
19,A70,BLK 629/626 ANG MO KIO AVE 4,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.380620641,103.8401072
20,A71,BLK 628/632 ANG MO KIO ST 61,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,1.380009094,103.84074190000001
